@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 2\nSize of the tree: 3\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

get-drink-set.arff,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,221,24,23,1,0,95.833333,4.166667,0,0.777778,0.049954,0.204348,32.367263,73.934317,9.932385,1074.288542,-1064.356157,0.413849,44.762023,-44.348173,5.962396,0.248433,1418.780655,1,2,0.045455,1,0.954545,21,0,0,0.666667,1,0.8,0.797724,0.977273,0.666667,0.958333,0.003788,0.996212,0.041667,0.972222,0.958333,0.962016,0.797724,0.977273,0.96875,0.888372,0.958333,0,0,0,0,0,0,5907,36054,6701,95.833333,50,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,25,0,0,100,0,0,1,0.014144,0.019567,9.311942,7.210929,10.061816,0.517264,9.544552,0.402473,0.020691,0.381782,9.544552,0.381782,2264.09825,1,2,0,0,1,23,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5907,35905,6850,100,54,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,24,1,0,96,4,0,0.647887,0.046245,0.199252,30.445712,73.429828,10.061816,7.719843,2.341973,0.402473,0.308794,0.093679,6.158303,0.246332,1460.833676,0.5,1,0,0,1,23,0.5,1,1,0.5,0.666667,0.692219,0.793478,0.547619,0.96,0.46,0.54,0.04,0.961667,0.96,0.953759,0.692219,0.793478,0.932143,0.822695,0.96,0,0,0,0,0,0,5907,35905,6850,96,52,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,25,0,0,100,0,0,1,0.01315,0.019252,8.657688,7.094919,10.061816,0.481199,9.580616,0.402473,0.019248,0.383225,9.580616,0.383225,2272.653223,1,2,0,0,1,23,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5907,35905,6850,100,54,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,24,1,0,96,4,0,0.778761,0.042667,0.165462,28.090154,60.977296,10.061816,2.743392,7.318424,0.402473,0.109736,0.292737,6.286712,0.251468,1491.293981,1,2,0.043478,1,0.956522,22,0,0,0.666667,1,0.8,0.798549,0.98913,0.833333,0.96,0.003478,0.996522,0.04,0.973333,0.96,0.963556,0.798549,0.98913,0.985,0.888889,0.96,0,0,0,0,0,0,6271,35905,6850,100,56,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
get-drink-set.arff,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,24,1,0,96,4,0,0.778761,0.042667,0.165462,28.090154,60.977296,10.061816,2.743392,7.318424,0.402473,0.109736,0.292737,6.286712,0.251468,1491.293981,1,2,0.043478,1,0.956522,22,0,0,0.666667,1,0.8,0.798549,0.98913,0.833333,0.96,0.003478,0.996522,0.04,0.973333,0.96,0.963556,0.798549,0.98913,0.985,0.888889,0.96,0,0,0,0,0,0,6271,35905,6850,100,56,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
get-drink-set.arff,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,221,24,24,0,0,100,0,0,1,0.014213,0.019809,9.209164,7.166888,9.932385,0.49913,9.433255,0.413849,0.020797,0.393052,9.433255,0.393052,2244.688069,1,2,0,0,1,22,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5907,36054,6701,100,54.166667,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,221,24,23,1,0,95.833333,4.166667,0,0.647059,0.048171,0.203361,31.212284,73.577124,9.932385,7.719843,2.212543,0.413849,0.32166,0.092189,6.022994,0.250958,1433.200139,0.5,1,0,0,1,22,0.5,1,1,0.5,0.666667,0.691564,0.784091,0.547619,0.958333,0.458333,0.541667,0.041667,0.960145,0.958333,0.951852,0.691564,0.784091,0.927881,0.822222,0.958333,0,0,0,0,0,0,5907,36054,6701,95.833333,52.083333,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,221,24,24,0,0,100,0,0,1,0.014733,0.01997,9.546401,7.225394,9.932385,0.517264,9.415121,0.413849,0.021553,0.392297,9.415121,0.392297,2240.373113,1,2,0,0,1,22,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5907,36054,6701,100,54.166667,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,221,24,23,1,0,95.833333,4.166667,0,0.777778,0.050463,0.204363,32.697068,73.939774,9.932385,1074.306274,-1064.373889,0.413849,44.762761,-44.348912,5.944664,0.247694,1414.56132,1,2,0.045455,1,0.954545,21,0,0,0.666667,1,0.8,0.797724,0.977273,0.666667,0.958333,0.003788,0.996212,0.041667,0.972222,0.958333,0.962016,0.797724,0.977273,0.96875,0.888372,0.958333,0,0,0,0,0,0,5907,36054,6701,95.833333,50,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,221,24,24,0,0,100,0,0,1,0.014733,0.01997,9.546401,7.225394,9.932385,0.517264,9.415121,0.413849,0.021553,0.392297,9.415121,0.392297,2240.373113,1,2,0,0,1,22,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5907,36054,6701,100,54.166667,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,25,0,0,100,0,0,1,0.014649,0.019727,9.644613,7.270097,10.061816,0.535603,9.526212,0.402473,0.021424,0.381048,9.526212,0.381048,2259.74785,1,2,0,0,1,23,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,5907,35905,6850,100,54,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,24,1,0,96,4,0,0.778761,0.048939,0.20025,32.219328,73.797314,10.061816,1074.324205,-1064.262389,0.402473,42.972968,-42.570496,6.062043,0.242482,1437.999452,1,2,0.043478,1,0.956522,22,0,0,0.666667,1,0.8,0.798549,0.978261,0.666667,0.96,0.003478,0.996522,0.04,0.973333,0.96,0.963556,0.798549,0.978261,0.970133,0.888889,0.96,0,0,0,0,0,0,5907,35905,6850,96,50,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
get-drink-set.arff,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20180420.13,220,25,23,2,0,92,8,0,0.626866,0.08,0.25923,52.669039,95.533063,10.061816,1076.643856,-1066.582041,0.402473,43.065754,-42.663282,2.710679,0.108427,643.010123,1,2,0.086957,2,0.913043,21,0,0,0.5,1,0.666667,0.675664,0.956522,0.5,0.92,0.006957,0.993043,0.08,0.96,0.92,0.931515,0.675664,0.956522,0.955061,0.810606,0.92,0,0,0,0,0,0,6271,35905,6850,96,54,'Number of leaves: 5\nSize of the tree: 9\n',9,5,5
